Question,FOL Query
Are there some vehicles at the front of the white car?,"TypeOf(x, Car)^ColorOf(x, White)^Vehicles(y)^TypeOf(y, Car)^InitialLocation(y, FrontOf)^InitialLocation(x, Front)"
Does the pedestrian walk at a constant speed and disappear?,Pedestrian(x)^Walk(x)^FixedPace(x)^Disappear(x)
Is there a yellow car with a black top at near right?,"TypeOf(x, Car)^ColorOf(x, Yellow)^ColorOf(x, Black)^InitialLocation(x, NearRight)"
Is there a black car on the left of the scene?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Left)"
Can you spot a motorcycle at the near-left?,"TypeOf(x, Motorcycle)^InitialLocation(x, NearLeft)"
Does the motorcycle disappear from the left?,"TypeOf(x, Motorcycle)^Disappear(x)^LastLocation(x, Left)"
Does the police car at the center move at a constant speed?,"TypeOf(x, PoliceCar)^ConstantSpeed(x)^InitialLocation(x, NearFront)"
Does the motorcycle disappear from the scene?,"TypeOf(x, Motorcycle)^Disappear(x)"
Does the police car get closer to the blue car on the left?,"TypeOf(x, PoliceCar)^ColorOf(x, Black)^TypeOf(y, Car)^ColorOf(y, Blue)^InitialLocation(y, Left)^DistanceDecrease(x, y)"
Can you see any person on the left?,"IsPedestrian(x)^InitialLocation(x, NearLeft)"
Is there any pedestrian walking on the right side of the scene?,"Pedestrian(x)^Walk(x)^InitialLocation(x, NearRight)"
Can you spot a black car on the right?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, NearRight)"
Does the SUV disappear from the scene?,"TypeOf(x, SUV)^Disappear(x)"
Can you spot a person riding the motorcycle?,"Pedestrian(y)^Ride(y, x)^TypeOf(x, Motorcycle)"
Can you spot any pedestrian near the left?,"Pedestrian(x)^InitialLocation(x, NearLeft)"
Does the police car get close to traffic lights at an intersection?,"TypeOf(x, PoliceCar)^IsPoliceCar(x)^Vehicles(x)^IsVehicles(x)^InitialLocation(x, NearFront)^Trafficlight(y)^IsTrafficlight(y)^InitialLocation(y, NearFront)^ComeClose(x, y)"
Does the police car on the right disappear from the scene?,"TypeOf(x, PoliceCar)^ColorOf(x, Black)^Disappear(x)"
Is there a white car at the center of the scene?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)"
Is there a motorcycle on the left?,"TypeOf(x, Motorcycle)^InitialLocation(x, NearLeft)"
Is there a white car at the center of the scene?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)"
Does the distance between the white car and the grey truck decrease?,"TypeOf(x, Car)^ColorOf(x, White)^TypeOf(y, Truck)^ColorOf(y, Gray)^DistanceDecrease(x, y)"
Can you spot a police car at the center?,"TypeOf(x, PoliceCar)^InitialLocation(x, NearFront)"
Does the person disappear from the scene?,IsPedestrian(x)^Disappear(x)
Can you spot a person on the right of the white car that is at the center of the scene?,"TypeOf(y, Car)^ColorOf(y, White)^InitialLocation(y, Center)^Pedestrian(x)^InitialLocation(x, Right)^IsPerson(x)"
Is the person moving at a constant speed?,Pedestrian(x)^ConstantSpeed(x)
Is there a white car at the center of the scene?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)"
Is there another car on the right of the police car?,"TypeOf(x, Car)^ColorOf(x, OtherColor)^TypeOf(y, PoliceCar)^InitialLocation(y, Right)^InitialLocation(x, RightOf(y))"
Does the speed of the white car remain unchanged?,"TypeOf(x, Car)^ColorOf(x, White)^Vehicles(x)^ConstantSpeed(x)"
Does the position of the black car change from right to front due to camera movement?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Right)^LastLocation(x, Front)"
Is there a gray SUV on the right of the police car?,"TypeOf(x, SUV)^ColorOf(x, Gray)^TypeOf(y, PoliceCar)^InitialLocation(x, Right)^InitialLocation(y, NearRight)"
Does the pedestrian move to the left and disappear?,"Pedestrian(x)^Move(x)^InitialLocation(x, Left)^Disappear(x)"
Is there a pedestrian at the right of the white car?,"Pedestrian(x)^IsPedestrian(x)^TypeOf(y, Car)^ColorOf(y, White)^InitialLocation(y, RightOf)^InitialLocation(x, RightOf)"
Does the police car at the center decelerate?,"TypeOf(x, PoliceCar)^ColorOf(x, Black)^InitialLocation(x, NearFront)^Decelerate(x)"
Does the blue car disappear from the scene?,"TypeOf(x, Car)^ColorOf(x, Blue)^Disappear(x)"
Is there a building on the right of the white car?,"TypeOf(x, Building)^InitialLocation(x, Right)^TypeOf(y, Car)^ColorOf(y, White)^InitialLocation(y, Left)"
Does the police car get close to the pedestrian on the left?,"TypeOf(x, PoliceCar)^TypeOf(y, Pedestrian)^InitialLocation(y, OnLeft)^ComeClose(x, y)"
Does a motorcycle also disappear from the scene with the person on the left?,"Motorcycle(x)^Pedestrian(y)^Ride(y, x)^Disappear(x)"
Does the police car at the center come closer to the white SUV at the right?,"TypeOf(x, PoliceCar)^ColorOf(x, Black)^InitialLocation(x, NearFront)^TypeOf(y, SUV)^ColorOf(y, White)^InitialLocation(y, NearRight)^ComeClose(x, y)"
Does the police car get close to the traffic lights at an intersection?,"TypeOf(x, PoliceCar)^ComeClose(x, y)^Trafficlight(y)^InitialLocation(x, NearFront)^InitialLocation(y, NearFront)"
Does the gray SUV disappear from the scene?,"TypeOf(x, SUV)^ColorOf(x, Gray)^Disappear(x)"
Is there a gray van on the right moving at a constant speed?,"TypeOf(x, Van)^ColorOf(x, Gray)^Vehicles(x)^ConstantSpeed(x)^InitialLocation(x, Right)"
Can you spot a police car at the front?,"TypeOf(x, PoliceCar)^InitialLocation(x, NearFront)"
Does the person on the left disappear from the scene?,"Pedestrian(x)^Disappear(x)^InitialLocation(x, Left)"
Does the black car on the right maintain constant speed?,"TypeOf(x, Car)^ColorOf(x, Black)^Vehicles(x)^ConstantSpeed(x)^InitialLocation(x, Right)"
Does the police car go away from the brown car?,"TypeOf(x, PoliceCar)^ColorOf(x, Black)^TypeOf(y, Car)^ColorOf(y, Brown)^GoAway(x, y)"
Can you spot a person on the left?,"IsPedestrian(x)^InitialLocation(x, Left)"
Is there a white car at the center of the scene?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)"
Can you spot another car that appears on the right?,"TypeOf(x, Car)^ColorOf(x, AnyColor)^InitialLocation(x, NearRight)"
Is there a pedestrian on the left?,"Pedestrian(x)^InitialLocation(x, Left)"
Can you spot a blue car at the front?,"TypeOf(x, Car)^ColorOf(x, Blue)^InitialLocation(x, NearFront)"
Does the person ride a bicycle?,"Pedestrian(x)^Ride(x, y)^TypeOf(y, Bicycle)"
Does the white car move at a constant speed?,"TypeOf(x, Car)^ColorOf(x, White)^Vehicles(x)^Move(x)^ConstantSpeed(x)"
Is there police at the front?,"TypeOf(x, PoliceCar)^InitialLocation(x, NearFront)"
Is there a white car at the center of the scene?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)"
Does the police car at the center come close to the black car on the left?,"TypeOf(x, PoliceCar)^ColorOf(x, Black)^InitialLocation(x, NearFront)^TypeOf(y, Car)^ColorOf(y, Black)^InitialLocation(y, NearLeft)^ComeClose(x, y)"
Does the pedestrian walk at a fixed pace?,Pedestrian(x)^FixedPace(x)
Is there a motorcycle moving at a constant speed in front of the police car?,"TypeOf(x, Motorcycle)^Vehicles(x)^ConstantSpeed(x)^TypeOf(y, PoliceCar)^InitialLocation(x, FrontOf)^InitialLocation(y, Front)"
Can you spot another police car at the front?,"TypeOf(x, PoliceCar)^ColorOf(x, Black)^InitialLocation(x, NearFront)"
Is there a white car near the front?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)"
Does the brown car disappear from the scene?,"TypeOf(x, Car)^ColorOf(x, Brown)^Disappear(x)"
Is there a pedestrian walking at a fixed pace on the right?,"Pedestrian(x)^Walk(x)^FixedPace(x)^InitialLocation(x, NearRight)"
Does the white car at the center come close to the blue and white cars that are at the left?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)^TypeOf(y, Car)^ColorOf(y, Blue)^ColorOf(y, White)^InitialLocation(y, NearLeft)^ComeClose(x, y)^TypeOf(z, Car)^ColorOf(z, Blue)^ColorOf(z, White)^InitialLocation(z, NearLeft)^ComeClose(x, z)"
Is there a black car on the right of the scene?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Right)"
Does the police car decelerate?,"TypeOf(x, PoliceCar)^Decelerate(x)"
Is there a brown car at the center of the frame?,"TypeOf(x, Car)^ColorOf(x, Brown)^InitialLocation(x, NearFront)"
Does the police car at the center get close to the brown car?,"TypeOf(x, PoliceCar)^ColorOf(x, Black)^InitialLocation(x, NearFront)^TypeOf(y, Car)^ColorOf(y, Brown)^ComeClose(x, y)"
Does the white car move at a constant speed?,"TypeOf(x, Car)^ColorOf(x, White)^Vehicles(x)^Move(x)^ConstantSpeed(x)"
Is there a black SUV stopped near the right?,
Can you spot a brown car at the left of the scene?,"TypeOf(x, Car)^ColorOf(x, Brown)^InitialLocation(x, Left)"
Does the brown car decelerate?,"TypeOf(x, Car)^ColorOf(x, Brown)^Decelerate(x)"
Can you spot a white car moving at a constant speed at the left corner of the scene?,"TypeOf(x, Car)^ColorOf(x, White)^Vehicles(x)^Move(x)^ConstantSpeed(x)^InitialLocation(x, LeftCorner)"
Does the speed of the ambulance remain unchanged?,"TypeOf(x, Ambulance)^Vehicles(x)^NotAccelerate(x)^NotDecelerate(x)^ConstantSpeed(x)"
Are there some vehicles on the right of the white car?,"TypeOf(x, Car)^ColorOf(x, White)^TypeOf(y, Car)^ColorOf(y, White)^InitialLocation(y, Right)^ Vehicles(y)"
Can you spot a pedestrian on the right?,"Pedestrian(x)^InitialLocation(x, Right)"
Does the brown car move at a constant speed?,"TypeOf(x, Car)^ColorOf(x, Brown)^Vehicles(x)^ConstantSpeed(x)"
Does the white SUV disappear from the scene?,"TypeOf(x, SUV)^ColorOf(x, White)^Disappear(x)"
Are there pedestrians in front of the white car?,"TypeOf(y, Car)^ColorOf(y, White)^Pedestrian(x)^InitialLocation(x, NearFront)^InitialLocation(y, NearFront)"
Can you spot a brown car on the left?,"TypeOf(x, Car)^ColorOf(x, Brown)^InitialLocation(x, Left)"
Is there a black car on the left?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Left)"
Does a pedestrian disappear from the scene from near the left?,"Pedestrian(x)^Disappear(x)^InitialLocation(x, NearLeft)"
Is there a brown car near the left of the police car?,"TypeOf(x, Car)^ColorOf(x, Brown)^InitialLocation(x, NearLeft)^TypeOf(y, PoliceCar)^InitialLocation(y, NearLeft)"
Can you spot a white car at the near-right corner of the scene?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearRight)"
Is there a white car near the right of the police car?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearRight)^TypeOf(y, PoliceCar)^InitialLocation(y, NearRight)"
Are there some cars visible on the right?,"TypeOf(x, Car)^IsVehicles(x)^Vehicles(x)^Move(x)^InitialLocation(x, NearRight)"
Does the distance between the police car and the brown car decrease?,"TypeOf(x, PoliceCar)^TypeOf(y, Car)^ColorOf(y, Brown)^DistanceDecrease(x, y)"
Is the gray SUV accelerating?,"TypeOf(x, SUV)^ColorOf(x, Gray)^Vehicles(x)^Accelerate(x)"
Can you spot a pedestrian walking on the right?,"Pedestrian(x)^Walk(x)^InitialLocation(x, NearRight)"
Is there a white car at the center of the scene?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)"
Is there a motorcycle on the left of the police car?,"TypeOf(x, Motorcycle)^TypeOf(y, PoliceCar)^InitialLocation(x, Left)^InitialLocation(y, NearLeft)"
Can you spot a back car on the left?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Left)"
Is there a white car at the center of the scene?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)"
Is there a terrain on the left?,"IsTerrain(x)^InitialLocation(x, NearLeft)"
Can you spot a brown car on the right?,"TypeOf(x, Car)^ColorOf(x, Brown)^InitialLocation(x, NearRight)"
